Age,M_Mtot,R_cm,logP,logT,logRho,logL,Kappa,Sint,Gradrad,Gradad,Gradtot,Tau,Lconv,X,Y,Z
4600.0,1.0,2544412520.49,7.0,2.135133925548,-2.601142919532,21.66959207999,0.1778612087693,327827234.4266,1.087454180931,0.3246572387573,0.3246573668584,0.0,0,0.584,0.216,0.2
4600.0,0.9999987222594,2543894937.024,7.050031492271,2.152192032566,-2.557119511418,21.66959196927,0.2047888322369,318607733.2364,1.200702751218,0.3742015420936,0.3742016825436,260.8079380583,1,0.565637,0.213134,0.221229
4600.0,0.9999974816004,2543430705.317,7.093677944835,2.171020972109,-2.53193829881,21.66959181546,0.2291881444709,318575853.8695,1.249258934531,0.5454648598004,0.5454650109097,548.2277792886,1,0.565636,0.213134,0.221231
4600.0,0.999996324779,2543018889.468,7.130787309421,2.191661174181,-2.514017999262,21.66959165553,0.2536473218814,318618167.402,1.245201099783,0.4812484280627,0.4812485621616,846.4378107117,1,0.565635,0.213134,0.221232
4600.0,0.9999948281569,2542511879.636,7.174559844095,2.210420683999,-2.488597519082,21.66959148312,0.284195796257,318616749.2944,1.298260479927,0.3868081557982,0.3868082710815,1276.404143528,1,0.565634,0.213133,0.221233
4600.0,0.9999929753423,2541923347.863,7.223316132026,2.227764941035,-2.45769610696,21.66959129167,0.3212838910581,318613643.2925,1.399629254142,0.3328569472049,0.3328570471299,1875.964257052,1,0.565633,0.213133,0.221235
4600.0,0.9999907836942,2541276799.327,7.274755187222,2.24433560568,-2.423838146296,21.66959107623,0.3649726787401,318612121.1865,1.53653178454,0.3125255301229,0.3125256199698,2680.214471432,1,0.565631,0.213132,0.221237
4600.0,0.9999882390844,2540583459.302,7.327767251094,2.260442026398,-2.388231581678,21.66959082763,0.4158325086918,318611071.5458,1.705245331446,0.2957142054678,0.2957142861452,3743.213213336,1,0.565629,0.213132,0.221239
4600.0,0.9999852897288,2539843927.89,7.382127707786,2.27614538044,-2.351142522057,21.66959053998,0.4750218162488,318610248.4569,1.910425122346,0.2833898784227,0.2833899509153,5149.747266163,1,0.565627,0.213131,0.221242
4600.0,0.9999819438223,2539073176.024,7.436599156114,2.291792636833,-2.314012801067,21.66959020346,0.5430659873383,318608670.0002,2.143643727344,0.291380529554,0.2913805976608,6974.285068145,1,0.565625,0.213131,0.221245
4600.0,0.9999782158731,2538283361.033,7.490252295665,2.307645131506,-2.277913159363,21.66958980298,0.6206303997516,318606254.2578,2.395396594996,0.3002478080435,0.3002478720745,9299.103121137,1,0.565622,0.21313,0.221248
4600.0,0.9999740821528,2537475855.735,7.542955034547,2.32373968458,-2.242946554966,21.66958932906,0.7091184031715,318607041.9243,2.664335968827,0.3095076423222,0.3095077025873,12246.34025413,1,0.565619,0.213129,0.221252
